"ID_ZIVALI","ZIV_ID_SEQ","DAT_ROJSTVO","SIF_SPOL"
"SI23630367",2585280,"02.09.08","2"
"SI33630366",2585284,"02.09.08","2"
"SI73540137",2586075,"01.09.08","2"
"SI03630046",2637414,"17.12.08","1"
"SI23627712",2636999,"06.12.08","2"
"SI73621065",2636106,"06.12.08","2"
"SI33619848",2635891,"09.12.08","2"
"SI63643406",2635814,"01.12.08","2"
"SI43695766",2635748,"20.11.08","2"
"SI03695777",2635759,"07.12.08","1"
"SI23720509",2635103,"25.11.08","2"
"SI33389455",2586532,"18.08.08","1"
"SI83598995",2586777,"03.09.08","2"
"SI53455088",2587029,"08.06.08","1"
"SI63453494",2587056,"06.06.08","2"
"SI53630034",2634924,"01.12.08","2"
"SI23543771",2588084,"26.08.08","2"
"SI83630426",2633835,"29.11.08","2"
"SI33603795",2588956,"28.08.08","1"
"SI33653886",2589095,"04.09.08","1"
"SI13610425",2633382,"06.12.08","1"
"SI83630062",2632304,"02.12.08","1"
"SI63720505",2631921,"05.12.08","2"
"SI23628603",2589707,"15.08.08","1"
"SI33539942",2590142,"30.08.08","2"
"SI93720502",2631870,"02.12.08","1"
"SI83720503",2631872,"01.12.08","2"
"SI03453823",2590906,"11.06.08","2"
"SI63453827",2591107,"14.06.08","2"
"SI63543148",2596577,"15.07.08","1"
"SI03389458",2630136,"19.11.08","1"
"SI43628649",2629744,"22.11.08","1"
"SI63654437",2599559,"06.09.08","2"
"SI43633179",2629583,"04.11.08","1"
"SI93633181",2629570,"24.11.08","1"
"SI73444969",2628451,"24.11.08","1"
"SI33444970",2628452,"20.11.08","2"
"SI73545792",2600650,"08.09.08","1"
"SI93633174",2627705,"09.11.08","1"
"SI23633119",2627711,"08.11.08","1"
"SI83633120",2627734,"10.11.08","1"
"SI63631546",2627661,"21.11.08","1"
"SI83545801",2600678,"26.08.08","1"
"SI63634439",2627421,"03.11.08","2"
"SI83608630",2627092,"13.11.08","1"
"SI03628605",2601170,"11.09.08","2"
"SI03652390",2601788,"14.09.08","2"
"SI93628606",2602033,"05.09.08","1"
"SI03653274",2602096,"12.09.08","1"
"SI03608621",2624551,"20.10.08","2"
"SI03628643",2624008,"12.11.08","1"
"SI93628644",2624009,"13.11.08","2"
"SI43619830",2623741,"09.11.08","1"
"SI83444982",2623279,"23.09.08","1"
"SI93444981",2623283,"13.09.08","1"
"SI03444973",2623289,"13.08.08","2"
"SI93628637",2621458,"30.10.08","1"
"SI63607662",2621344,"30.03.08","2"
"SI53607663",2621346,"08.08.08","1"
"SI53619815",2620845,"30.10.08","2"
"SI63619821",2620855,"14.09.08","1"
"SI03551718",2620815,"06.11.08","1"
"SI73619930",2619324,"18.10.08","2"
"SI83619805",2619167,"11.10.08","1"
"SI13656537",2605027,"12.09.08","2"
"SI03653281",2605106,"08.09.08","2"
"SI03628629",2618763,"29.10.08","2"
"SI83627242",2618722,"22.10.08","2"
"SI93619921",2618483,"25.10.08","1"
"SI13453176",2606335,"25.06.08","1"
"SI33453174",2606336,"25.06.08","1"
"SI93165886",2606601,"30.06.08","1"
"SI23444971",2606848,"20.06.08","2"
"SI93451671",2606929,"28.06.08","1"
"SI72677939",2606943,"30.06.08","1"
"SI93445889",2606983,"04.07.08","1"
"SI23320965",2607094,"01.07.08","2"
"SI33320964",2607095,"30.06.08","1"
"SI13165884",2607132,"01.07.08","2"
"SI73451800",2607342,"27.06.08","1"
"SI73460585",2607396,"24.06.08","1"
"SI63266234",2616755,"17.10.08","1"
"SI53266235",2616757,"17.10.08","1"
"SI13667805",2616420,"22.10.08","2"
"SI73619806",2616164,"13.10.08","2"
"SI23630611",2615949,"18.10.08","2"
"SI13608606",2615647,"16.10.08","2"
"SI83628614",2608335,"21.09.08","2"
"SI43636495",2608891,"20.09.08","2"
"SI63627282",2614903,"05.10.08","1"
"SI53603779",2609277,"16.09.08","2"
"SI03630015",2614377,"18.10.08","2"
"SI93543932",2614078,"13.10.08","2"
"SI13641966",2613701,"10.10.08","1"
"SI23627255",2609827,"20.09.08","2"
"SI83654590",2610272,"11.07.08","2"
"SI23619667",2610374,"20.09.08","2"
"SI33387264",2612969,"06.10.08","1"
"SI03630390",2612983,"12.10.08","1"
"SI03655049",2611950,"20.08.08","2"
"SI53555528",2611828,"02.10.08","2"
"SI33545882",2611232,"30.09.08","1"
"SI73627267",2611262,"29.09.08","2"
"SI13545891",2611150,"15.09.08","1"
