SI 4457,SI84311531
SI 2820,SI84312367
SI 4688,SI84314383
SI 3299,SI84314390
SI 4443,SI84565709
SI 4525,SI84565723
SI 4433,SI84565730
SI 4335,SI84582773
SI 4559,SI84672001
SI 4410,SI84672018
SI 3293,SI84701327
SI 4787,SI84747666
SI 4774,SI84747680
SI 4786,SI84747697
SI 4281,SI84747965
SI 4700,SI84754277
SI 4739,SI84761644
SI 4354,SI84771935
SI 4607,SI84833347
SI 4332,SI84833866
SI 4388,SI84833880
SI 4692,SI84852801
SI 4372,SI84950404
SI 4374,SI84950411
SI 4377,SI84950435
SI 4750,SI84995412
SI 4379,SI85020108
711,SI85093087
SI 4287,SI85107654
SI 4323,SI85113587
SI 4761,SI85171912
SI 4336,SI93552442
SI 4708,SI93980232
SI 4711,SI94049091
SI 4352,SI94121047
SI 4539,SI94131132
SI 4338,SI94353033
SI 4603,SI94525465
SI 4554,SI94565739
SI 4538,SI94672031
SI 4574,SI94691832
SI 4690,SI94754276
SI 4630,SI94832194
SI 4484,SI94833360
SI 4367,SI94833872
SI 4773,SI94838963
SI 4715,SI94842722
SI 4296,SI94956629
SI 4737,SI94995404
718,SI95093079
SI 4292,SI95107691
SI 4742,SI95115090
SI 4326,SI95116503
SI 4328,SI95116534
SI 4763,SI95171911
SI 4330,SI95196512
SI 2519,SI04984867
SI 3610,SI05027316
SI 3616,SI34968286
SI 3607,SI45146938
SI 3608,SI94968297
SI 4573,SI04672023
SI 4653,SI04852957
717,SI15093084
712,SI25093090
SI 4533,SI44131151
SI 4611,SI44832199
SI 4376,SI44950415
SI 4405,SI54565740
SI 4363,SI64833875
SI 4399,SI95195391
714,SI05093092
SI 3298,SI24307323
SI 4735,SI04780751
SI 4382,SI26020104
SI 4390,AT53301299
SI 3303,SI33926176
SI 4506,SI02694481
SI 4583,SI03600331
SI 4596,SI03796201
SI 2856,SI03990766
SI 2814,SI04127970
SI 2819,SI04128043
SI 4408,SI04131131
SI 4639,SI04463234
SI 4620,SI04463241
SI 4231,SI04483294
SI 4571,SI04672009
SI 4526,SI04672016
SI 4595,SI04672030
SI 4587,SI04672047
SI 4584,SI04691831
SI 3316,SI04694298
SI 4679,SI04701332
SI 4642,SI04704562
SI 4815,SI04785156
SI 4667,SI04802103
SI 4617,SI04832193
SI 4474,SI04833345
SI 4480,SI04833390
SI 4517,SI04932066
SI 3311,SI04933005
SI 3514,SI04933012
SI 4808,SI05016976
SI 2824,SI05017049
SI 2829,SI05017056
SI 4260,SI05067453
SI 2870,SI05155576
SI 4266,SI05283011
SI 2857,SI13795591
SI 4814,SI14128004
SI 4698,SI14162994
SI 3300,SI14309348
SI 4521,SI14311507
SI 4532,SI14311514
SI 4449,SI14311521
SI 4592,SI14311545
SI 2878,SI14312405
SI 4498,SI14352528
SI 4531,SI14565706
SI 3282,SI14590258
SI 4429,SI14672008
SI 4563,SI14672015
SI 4417,SI14672039
SI 4547,SI14691830
SI 2807,SI14699632
SI 2861,SI14699656
SI 2877,SI14699670
SI 4634,SI14704561
SI 4619,SI14746882
SI 4812,SI14785090
SI 2809,SI14785100
SI 2821,SI14785155
SI 4248,SI14832099
SI 4222,SI14832109
SI 4643,SI14832192
SI 4479,SI14833344
SI 4471,SI14833351
SI 4482,SI14833368
SI 4656,SI14852956
SI 4518,SI14932065
SI 2801,SI14933011
SI 4622,SI14951952
SI 4249,SI14952733
SI 2826,SI15017055
SI 4259,SI15067452
SI 2871,SI15279206
SI 2864,SI15279213
SI 2866,SI15279220
SI 4510,SI22694551
SI 3312,SI23881673
SI 4412,SI23925539
SI 4638,SI24267359
SI 4586,SI24311513
SI 4588,SI24311537
SI 4419,SI24311544
SI 2876,SI24312411
SI 4497,SI24352527
SI 4657,SI24460600
SI 4631,SI24463232
SI 4432,SI24565705
SI 4426,SI24565729
SI 4522,SI24565736
SI 4425,SI24565781
SI 4569,SI24672007
SI 4427,SI24672038
SI 4440,SI24672045
SI 2858,SI24699648
SI 2811,SI24785109
SI 4241,SI24832081
SI 4227,SI24832108
SI 4604,SI24833343
SI 4462,SI24833367
SI 4664,SI24853190
SI 3319,SI24933010
SI 2855,SI25016981
SI 2833,SI25017016
SI 4252,SI25067437
SI 4524,SI33717977
SI 4818,SI34127977
SI 4811,SI34127984
SI 4565,SI34311536
SI 4503,SI34446913
SI 4624,SI34463231
SI 4239,SI34483253
SI 4549,SI34672020
SI 4442,SI34672037
SI 4406,SI34672044
SI 2808,SI34699685
SI 2822,SI34785098
SI 2803,SI34785108
SI 4803,SI34785122
SI 4623,SI34832200
SI 4485,SI34833366
SI 3511,SI34933019
SI 3507,SI34933026
SI 4242,SI34952700
SI 4255,SI34952731
SI 4651,SI35006541
SI 2838,SI35017015
SI 2825,SI35017046
SI 2831,SI35017053
SI 2867,SI35155580
SI 4265,SI35283001
SI 2859,SI43795608
SI 2816,SI43795622
SI 4540,SI43925544
SI 4809,SI44312392
